id,name,type
3202026,Pine Ridge Middle School,school
3202027,Herbert A. Wood Elementary School,school
3202029,Cayce Elementary School,school
3202030,Riverbank Elementary,school
3203026,Batesburg-Leesville High School,school
3203028,Batesburg-Leesville Elementary School,school
3203029,Batesburg-Leesville Middle School,school
3204034,Swansea High School,school
3204035,Frances Mack Intermediate School,school
3204036,Sandhills Middle School- Lexington School District Four,school
3204039,Sandhills Elementary,school
3205038,Chapin High School,school
3205039,Irmo High School,school
3205040,Irmo Middle School,school
3205041,Chapin Elementary School,school
3205042,Dutch Fork Elementary,school
3205043,Irmo Elementary,school
3205044,Leaphart Elementary School Steam Magnet,school
3205045,Seven Oaks Elementary School Media Magnet,school
3205046,Crossroads Intermediate School,school
3205047,Nursery Road Elementary School-Arts Magnet,school
3205048,Harbison West Elementary,school
3205049,H. E. Corley Elementary School Leadership Magnet And Montessori M,school
3205050,Chapin Intermediate School,school
3205051,Dutch Fork High School,school
3205052,Lake Murray Elementary School,school
3205053,River Springs Elementary,school
3205054,Dutch Fork Middle School,school
3205055,Ballentine Elementary School,school
3205056,Oak Pointe Elementary,school
3205057,Spring Hill High School,school
3205058,Chapin Middle School,school
